date,state,market,commodity,min_price,max_price,modal_price,unit
2026-02-01,Madhya Pradesh,Indore,Wheat,1978,2205,2118,Rs./quintal
2026-02-04,Madhya Pradesh,Indore,Wheat,2109,2376,2211,Rs./quintal
2026-02-07,Madhya Pradesh,Indore,Wheat,2001,2193,2126,Rs./quintal
2026-02-10,Madhya Pradesh,Indore,Wheat,2026,2210,2143,Rs./quintal
2026-02-13,Madhya Pradesh,Indore,Wheat,2039,2264,2141,Rs./quintal
2026-02-16,Madhya Pradesh,Indore,Wheat,2035,2294,2143,Rs./quintal
2026-02-19,Madhya Pradesh,Indore,Wheat,2031,2252,2115,Rs./quintal
2026-02-22,Madhya Pradesh,Indore,Wheat,2003,2327,2159,Rs./quintal
2026-02-25,Madhya Pradesh,Indore,Wheat,1996,2234,2159,Rs./quintal
2026-02-28,Madhya Pradesh,Indore,Wheat,2114,2382,2225,Rs./quintal
2026-03-03,Madhya Pradesh,Indore,Wheat,2124,2419,2243,Rs./quintal
2026-03-06,Madhya Pradesh,Indore,Wheat,2082,2354,2197,Rs./quintal
2026-03-09,Madhya Pradesh,Indore,Wheat,2146,2359,2228,Rs./quintal
2026-03-12,Madhya Pradesh,Indore,Wheat,2066,2333,2240,Rs./quintal
2026-03-15,Madhya Pradesh,Indore,Wheat,2019,2276,2185,Rs./quintal
2026-03-18,Madhya Pradesh,Indore,Wheat,2017,2293,2160,Rs./quintal
2026-03-21,Madhya Pradesh,Indore,Wheat,2060,2284,2195,Rs./quintal
2026-03-24,Madhya Pradesh,Indore,Wheat,2110,2318,2182,Rs./quintal
2026-03-27,Madhya Pradesh,Indore,Wheat,2068,2375,2227,Rs./quintal
2026-03-30,Madhya Pradesh,Indore,Wheat,2036,2340,2168,Rs./quintal
2026-04-02,Madhya Pradesh,Indore,Wheat,2147,2410,2265,Rs./quintal
2026-04-05,Madhya Pradesh,Indore,Wheat,2198,2387,2292,Rs./quintal
2026-04-08,Madhya Pradesh,Indore,Wheat,2043,2278,2183,Rs./quintal
2026-04-11,Madhya Pradesh,Indore,Wheat,2134,2370,2207,Rs./quintal
2026-04-14,Madhya Pradesh,Indore,Wheat,2116,2332,2221,Rs./quintal
2026-04-17,Madhya Pradesh,Indore,Wheat,2171,2402,2302,Rs./quintal
2026-04-20,Madhya Pradesh,Indore,Wheat,2097,2307,2212,Rs./quintal
2026-04-23,Madhya Pradesh,Indore,Wheat,2178,2370,2257,Rs./quintal
2026-04-26,Madhya Pradesh,Indore,Wheat,2141,2330,2208,Rs./quintal
2026-04-29,Madhya Pradesh,Indore,Wheat,2021,2269,2191,Rs./quintal
2026-05-02,Madhya Pradesh,Indore,Wheat,2204,2414,2297,Rs./quintal
2026-05-05,Madhya Pradesh,Indore,Wheat,2085,2397,2220,Rs./quintal
2026-05-08,Madhya Pradesh,Indore,Wheat,2212,2451,2284,Rs./quintal
2026-05-11,Madhya Pradesh,Indore,Wheat,2116,2355,2213,Rs./quintal
2026-05-14,Madhya Pradesh,Indore,Wheat,2133,2427,2285,Rs./quintal
2026-05-17,Madhya Pradesh,Indore,Wheat,2096,2343,2226,Rs./quintal
2026-05-20,Madhya Pradesh,Indore,Wheat,2257,2443,2342,Rs./quintal
